"Story","Title","Result","Date","Stability","Duration (s)"
"Create, update and delet user","Create user successfully.","SUCCESS","2023-08-30T11:19:02.4228997-05:00[America/Bogota]","0.0","7.61"
"Create, update and delet user","Update user successfully.","SUCCESS","2023-08-30T11:19:10.0545837-05:00[America/Bogota]","0.0","1.83"
"Create, update and delet user","Delete user successfully.","SUCCESS","2023-08-30T11:19:11.9058495-05:00[America/Bogota]","0.0","1.54"
